,plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII
92,273,GALAXY,637,51957,0.02922927,159.09347,0.077469112,1237654670276428014,44.8512,176.8601,52.24691,54.54957,2.987591,10.10142,24.10257,44.51015,32.39661,15.92084,48.02094,1.3739138138218783,0.9577877515808099,8.067560117834068,3.016231555621437
93,273,GALAXY,638,51957,0.09488087,159.04552,0.13886839,1237654670276427991,34.75818,120.7712,12.12788,15.01013,4.040849,5.102007,8.783301,17.55702,8.501551,13.22243,39.8819,2.0651549346701565,0.8079796777243101,2.173627621324133,3.0162307533486663
94,274,GALAXY,11,51913,0.03871459,160.69263,-0.97612783,1237648720148562180,5.825356,17.52998,15.27274,4.726023,1.813124,0.3913249,3.48959,7.25252,2.334059,1.798667,5.425195,3.107256500371242,3.2316262531942823,1.9246284313703863,3.0162309087785566
95,274,GALAXY,12,51913,0.05000296,160.657,-0.68594329,1237654669203406961,64.31324,245.6422,33.31136,40.44207,6.779702,4.28931,10.20528,41.02032,28.28694,28.68499,86.52054,1.4501504934786158,0.8236808847816148,1.5052697006446596,3.0162304396829143
96,274,GALAXY,15,51913,0.09554537,160.86425,-0.79888412,1237654669203472492,99.00855,407.0441,88.76749,128.202,2.084724,12.8279,48.1954,88.70724,59.78736,40.92209,123.4305,1.4837122763072328,0.692403316640926,23.11836003231123,3.016231575659992
97,274,GALAXY,18,51913,0.03808925,160.73398,-1.0695353,1237654668666536015,80.7164,296.0841,66.18575,82.22002,1.067293,8.481858,29.47917,72.84577,50.03892,28.18408,85.0097,1.4557822191206367,0.804983384825253,27.620503460624214,3.0162311489323046
98,274,GALAXY,19,51913,0.1362935,160.59189,-0.8056654,1237654669203341490,10.80633,20.22738,7.913173,5.625111,1.213902,1.430421,5.027002,6.942647,2.515724,8.171037,24.64573,2.759701382186599,1.406758551075703,4.14119261686693,3.016230375654889
99,274,GALAXY,28,51913,0.08483262,161.14264,-0.4345949,1237648720685629571,35.06054,192.7444,40.42038,26.8459,0.3612089,6.399933,19.90757,42.0488,26.56331,20.65849,62.31077,1.5829653759264188,1.5056444373256253,55.1137305863726,3.016230615112721
100,274,GALAXY,30,51913,0.08508939,161.16937,-0.32897014,1237654669740474480,155.681,624.2538,159.1849,167.4361,1.368189,40.62101,123.7155,122.7129,84.395,55.4678,167.3037,1.454030452040998,0.9507203046415915,90.4228143918713,3.0162310385484914
101,274,GALAXY,32,51913,0.03935346,161.07584,-0.64580411,1237654669203538120,136.3378,568.1542,106.187,88.62729,2.448869,11.80209,41.87753,119.3443,78.14993,64.59311,194.8277,1.5271197299856827,1.1981298311163524,17.100763658652216,3.016230368842745
102,274,GALAXY,36,51913,0.1503069,161.18835,-0.2527499,1237654669740474492,38.34401,188.4616,130.385,115.8112,1.705533,58.59457,180.9326,109.3578,100.6577,99.44331,299.944,1.086432533228953,1.1258410240114944,106.08566354330289,3.016231056669373
